data,CLOUD,IP,PRICE,LATENCY,JITTER
12.04.21-09:53:43,openstack1,10.159.205.6,5,5,0
12.04.21-09:53:50,openstack1,10.159.205.6,5,5,0
12.04.21-09:53:58,openstack1,10.159.205.6,6,6,0
12.04.21-09:54:06,openstack1,10.159.205.6,5,5,0
12.04.21-09:54:18,openstack1,10.159.205.6,9,9,0
12.04.21-09:54:31,openstack1,10.159.205.6,5,5,0
12.04.21-09:54:39,openstack1,10.159.205.6,5,5,0
12.04.21-09:54:47,openstack1,10.159.205.6,5,5,0
12.04.21-09:54:57,openstack1,10.159.205.6,5,5,0
12.04.21-09:55:06,openstack1,10.159.205.6,5,5,0
12.04.21-09:55:14,openstack1,10.159.205.6,5,5,0
12.04.21-09:55:21,openstack1,10.159.205.6,6,6,0
12.04.21-09:55:29,openstack1,10.159.205.6,5,5,0
12.04.21-09:55:37,openstack1,10.159.205.6,5,5,0
12.04.21-09:55:44,openstack1,10.159.205.6,5,5,0
12.04.21-09:55:51,openstack1,10.159.205.6,5,5,0
12.04.21-09:55:59,openstack1,10.159.205.6,5,5,0
12.04.21-09:56:07,openstack1,10.159.205.6,5,5,0
12.04.21-09:56:15,openstack1,10.159.205.6,5,5,0
12.04.21-09:56:23,openstack1,10.159.205.6,7,7,0
12.04.21-09:56:30,openstack1,10.159.205.6,5,5,0
12.04.21-09:56:38,openstack1,10.159.205.6,5,5,0
12.04.21-09:56:45,openstack1,10.159.205.6,5,5,0
12.04.21-09:56:53,openstack1,10.159.205.6,5,5,0
12.04.21-09:57:01,openstack1,10.159.205.6,5,5,0
12.04.21-09:57:08,openstack1,10.159.205.6,5,5,0
12.04.21-09:58:36,openstack1,10.159.205.6,16,16,0
12.04.21-09:58:44,openstack1,10.159.205.6,16,16,0
12.04.21-09:58:51,openstack1,10.159.205.6,16,16,0
12.04.21-09:58:58,openstack1,10.159.205.6,16,16,0
12.04.21-09:59:10,openstack1,10.159.205.6,17,17,0
12.04.21-09:59:22,openstack1,10.159.205.6,15,15,0
12.04.21-09:59:33,openstack1,10.159.205.6,16,16,0
12.04.21-09:59:41,openstack1,10.159.205.6,16,16,0
12.04.21-09:59:48,openstack1,10.159.205.6,16,16,0
12.04.21-09:59:56,openstack1,10.159.205.6,16,16,0
12.04.21-10:00:03,openstack1,10.159.205.6,16,16,0
