"id_tests","start_date_test","finish_date_test","description","id_tests_methods","start_date_test_methods","finish_date_test_methods","id_tests","id_methods","name_methods","id_cloud"
"297","1662472704.7724","1662472915.215997","Teste_send_job","6288","1662472745.171192","1662472746.191587","297","11","configVNFsCostsOSM()","2"
"297","1662472704.7724","1662472915.215997","Teste_send_job","6287","1662472745.161748","1662472745.16873","297","11","configVNFsCostsOSM()","1"
"297","1662472704.7724","1662472915.215997","Teste_send_job","6290","1662472746.196906","1662472783.086278","297","12","createNSInstanceOSM()","2"
"297","1662472704.7724","1662472915.215997","Teste_send_job","6289","1662472746.194693","1662472783.09539","297","12","createNSInstanceOSM()","1"
"297","1662472704.7724","1662472915.215997","Teste_send_job","6271","1662472741.483038","1662472741.74505","297","3","getLastMeasureClouds()","1"
"297","1662472704.7724","1662472915.215997","Teste_send_job","6272","1662472742.874638","1662472744.855819","297","3","getLastMeasureClouds()","2"
"297","1662472704.7724","1662472915.215997","Teste_send_job","6282","1662472745.081596","1662472745.095469","297","8","getMetricsVnfApplyWeight()","2"
"297","1662472704.7724","1662472915.215997","Teste_send_job","6281","1662472745.063607","1662472745.078884","297","8","getMetricsVnfApplyWeight()","1"
"297","1662472704.7724","1662472915.215997","Teste_send_job","6286","1662472745.153173","1662472745.159664","297","10","getVnfStatusDegradation()","2"
"297","1662472704.7724","1662472915.215997","Teste_send_job","6285","1662472745.136264","1662472745.150751","297","10","getVnfStatusDegradation()","1"
"297","1662472704.7724","1662472915.215997","Teste_send_job","6267","1662472704.897468","1662472704.909124","297","1","insertJob()","1"
"297","1662472704.7724","1662472915.215997","Teste_send_job","6268","1662472704.902831","1662472704.910669","297","1","insertJob()","2"
"297","1662472704.7724","1662472915.215997","Teste_send_job","6278","1662472744.948093","1662472744.965386","297","6","insertJobVnfCloud()","2"
"297","1662472704.7724","1662472915.215997","Teste_send_job","6277","1662472744.913231","1662472744.938563","297","6","insertJobVnfCloud()","1"
"297","1662472704.7724","1662472915.215997","Teste_send_job","6273","1662472744.858779","1662472744.866189","297","4","insertMetric()","1"
"297","1662472704.7724","1662472915.215997","Teste_send_job","6274","1662472744.860971","1662472744.868148","297","4","insertMetric()","2"
"297","1662472704.7724","1662472915.215997","Teste_send_job","6276","1662472744.884022","1662472744.906354","297","5","insertMetricCloud()","2"
"297","1662472704.7724","1662472915.215997","Teste_send_job","6275","1662472744.870392","1662472744.881891","297","5","insertMetricCloud()","1"
"297","1662472704.7724","1662472915.215997","Teste_send_job","6280","1662472745.012643","1662472745.054782","297","7","insertMetricsVnf()","2"
"297","1662472704.7724","1662472915.215997","Teste_send_job","6279","1662472744.967718","1662472745.004517","297","7","insertMetricsVnf()","1"
"297","1662472704.7724","1662472915.215997","Teste_send_job","6284","1662472745.112736","1662472745.127786","297","9","updateCostJobVnfCloud()","2"
"297","1662472704.7724","1662472915.215997","Teste_send_job","6283","1662472745.098038","1662472745.10471","297","9","updateCostJobVnfCloud()","1"
"297","1662472704.7724","1662472915.215997","Teste_send_job","6269","1662472704.913763","1662472705.472056","297","2","userLatency()","1"
"297","1662472704.7724","1662472915.215997","Teste_send_job","6270","1662472705.474929","1662472706.444416","297","2","userLatency()","2"
"299","1662473767.789624","1662473977.502302","Teste_send_job","6336","1662473807.753833","1662473808.591548","299","11","configVNFsCostsOSM()","2"
"299","1662473767.789624","1662473977.502302","Teste_send_job","6335","1662473807.37856","1662473807.751089","299","11","configVNFsCostsOSM()","1"
"299","1662473767.789624","1662473977.502302","Teste_send_job","6338","1662473808.601135","1662473870.379712","299","12","createNSInstanceOSM()","2"
"299","1662473767.789624","1662473977.502302","Teste_send_job","6337","1662473808.598834",,"299","12","createNSInstanceOSM()","1"
"299","1662473767.789624","1662473977.502302","Teste_send_job","6319","1662473804.825399","1662473805.070664","299","3","getLastMeasureClouds()","1"
"299","1662473767.789624","1662473977.502302","Teste_send_job","6320","1662473806.152891","1662473807.032176","299","3","getLastMeasureClouds()","2"
"299","1662473767.789624","1662473977.502302","Teste_send_job","6329","1662473807.248165","1662473807.271834","299","8","getMetricsVnfApplyWeight()","1"
"299","1662473767.789624","1662473977.502302","Teste_send_job","6330","1662473807.27708","1662473807.295477","299","8","getMetricsVnfApplyWeight()","2"
"299","1662473767.789624","1662473977.502302","Teste_send_job","6334","1662473807.367645","1662473807.374155","299","10","getVnfStatusDegradation()","2"
"299","1662473767.789624","1662473977.502302","Teste_send_job","6333","1662473807.349704","1662473807.363557","299","10","getVnfStatusDegradation()","1"
"299","1662473767.789624","1662473977.502302","Teste_send_job","6315","1662473767.801779","1662473767.816867","299","1","insertJob()","1"
"299","1662473767.789624","1662473977.502302","Teste_send_job","6316","1662473767.805942","1662473767.824536","299","1","insertJob()","2"
"299","1662473767.789624","1662473977.502302","Teste_send_job","6325","1662473807.099994","1662473807.128217","299","6","insertJobVnfCloud()","1"
"299","1662473767.789624","1662473977.502302","Teste_send_job","6326","1662473807.132218","1662473807.156393","299","6","insertJobVnfCloud()","2"
"299","1662473767.789624","1662473977.502302","Teste_send_job","6321","1662473807.035814","1662473807.048767","299","4","insertMetric()","1"
"299","1662473767.789624","1662473977.502302","Teste_send_job","6322","1662473807.039538","1662473807.051744","299","4","insertMetric()","2"
"299","1662473767.789624","1662473977.502302","Teste_send_job","6323","1662473807.05579","1662473807.072456","299","5","insertMetricCloud()","1"
"299","1662473767.789624","1662473977.502302","Teste_send_job","6324","1662473807.082749","1662473807.09727","299","5","insertMetricCloud()","2"
