data,CLOUD,IP,CPU,MEMORY,NVM,VCPU,MEMORYC,DISCKC
12.04.21-09:53:33,openstack1,10.159.205.6,0,0,0,0,0,0
12.04.21-09:53:36,openstack1,10.159.205.6,9,20,0,0,7,0
12.04.21-09:53:43,openstack1,10.159.205.6,11,20,0,0,7,0
12.04.21-09:53:50,openstack1,10.159.205.6,14,20,0,0,7,0
12.04.21-09:53:58,openstack1,10.159.205.6,18,20,0,0,7,0
12.04.21-09:54:06,openstack1,10.159.205.6,29,20,0,0,7,0
12.04.21-09:54:18,openstack1,10.159.205.6,10,20,0,0,7,0
12.04.21-09:54:31,openstack1,10.159.205.6,10,20,0,0,7,0
12.04.21-09:54:39,openstack1,10.159.205.6,14,20,0,0,7,0
12.04.21-09:54:47,openstack1,10.159.205.6,10,20,0,0,13,6
12.04.21-09:54:57,openstack1,10.159.205.6,16,20,1,25,13,6
12.04.21-09:55:06,openstack1,10.159.205.6,65,22,1,25,13,6
12.04.21-09:55:14,openstack1,10.159.205.6,38,22,1,25,13,6
12.04.21-09:55:21,openstack1,10.159.205.6,43,22,1,25,13,6
12.04.21-09:55:29,openstack1,10.159.205.6,39,22,1,25,13,6
12.04.21-09:55:37,openstack1,10.159.205.6,30,22,1,25,13,6
12.04.21-09:55:44,openstack1,10.159.205.6,41,23,1,25,13,6
12.04.21-09:55:51,openstack1,10.159.205.6,36,25,1,25,13,6
12.04.21-09:55:59,openstack1,10.159.205.6,39,26,1,25,13,6
12.04.21-09:56:07,openstack1,10.159.205.6,53,28,1,25,13,6
12.04.21-09:56:15,openstack1,10.159.205.6,35,30,1,25,13,6
12.04.21-09:56:23,openstack1,10.159.205.6,32,32,1,25,13,6
12.04.21-09:56:30,openstack1,10.159.205.6,31,34,1,25,13,6
12.04.21-09:56:38,openstack1,10.159.205.6,34,35,1,25,13,6
12.04.21-09:56:45,openstack1,10.159.205.6,35,36,1,25,13,6
12.04.21-09:56:53,openstack1,10.159.205.6,39,36,1,25,13,6
12.04.21-09:57:01,openstack1,10.159.205.6,38,37,1,25,13,6
12.04.21-09:57:08,openstack1,10.159.205.6,36,37,1,25,13,6
12.04.21-09:58:25,openstack1,10.159.205.6,0,0,0,0,0,0
12.04.21-09:58:29,openstack1,10.159.205.6,18,20,0,0,7,0
12.04.21-09:58:36,openstack1,10.159.205.6,5,20,0,0,7,0
12.04.21-09:58:44,openstack1,10.159.205.6,16,20,0,0,7,0
12.04.21-09:58:51,openstack1,10.159.205.6,21,20,0,0,7,0
12.04.21-09:58:58,openstack1,10.159.205.6,19,20,0,0,7,0
12.04.21-09:59:10,openstack1,10.159.205.6,10,20,0,0,7,0
12.04.21-09:59:22,openstack1,10.159.205.6,10,20,0,0,7,0
12.04.21-09:59:33,openstack1,10.159.205.6,1,20,0,0,7,0
12.04.21-09:59:41,openstack1,10.159.205.6,14,20,0,0,7,0
12.04.21-09:59:48,openstack1,10.159.205.6,8,20,0,0,7,0
12.04.21-09:59:56,openstack1,10.159.205.6,10,20,0,0,7,0
12.04.21-10:00:03,openstack1,10.159.205.6,9,20,0,0,7,0
12.04.21-10:00:12,openstack1,10.159.205.6,10,20,0,0,7,0
12.04.21-10:00:19,openstack1,10.159.205.6,14,20,0,0,7,0
12.04.21-10:00:27,openstack1,10.159.205.6,11,20,0,0,7,0
12.04.21-10:00:35,openstack1,10.159.205.6,8,20,0,0,7,0
12.04.21-10:00:43,openstack1,10.159.205.6,13,20,0,0,7,0
12.04.21-10:00:50,openstack1,10.159.205.6,9,20,0,0,7,0
12.04.21-10:00:59,openstack1,10.159.205.6,6,20,0,0,7,0
12.04.21-10:01:06,openstack1,10.159.205.6,10,20,0,0,7,0
12.04.21-10:01:14,openstack1,10.159.205.6,6,20,0,0,7,0
12.04.21-10:01:21,openstack1,10.159.205.6,7,20,0,0,7,0
12.04.21-10:01:28,openstack1,10.159.205.6,10,20,0,0,7,0
12.04.21-10:01:36,openstack1,10.159.205.6,19,20,0,0,7,0
12.04.21-10:01:44,openstack1,10.159.205.6,6,20,0,0,7,0
12.04.21-10:01:52,openstack1,10.159.205.6,9,20,0,0,7,0
12.04.21-10:02:00,openstack1,10.159.205.6,12,20,0,0,7,0
12.04.21-10:03:17,openstack1,10.159.205.6,0,0,0,0,0,0
12.04.21-10:03:20,openstack1,10.159.205.6,14,20,0,0,7,0
12.04.21-10:03:27,openstack1,10.159.205.6,10,20,0,0,7,0
12.04.21-10:03:35,openstack1,10.159.205.6,9,20,0,0,7,0
12.04.21-10:03:44,openstack1,10.159.205.6,0,20,0,0,7,0
12.04.21-10:03:52,openstack1,10.159.205.6,14,20,0,0,7,0
12.04.21-10:04:03,openstack1,10.159.205.6,10,20,0,0,7,0
12.04.21-10:04:17,openstack1,10.159.205.6,10,20,0,0,7,0
12.04.21-10:04:25,openstack1,10.159.205.6,14,20,0,0,7,0
12.04.21-10:04:32,openstack1,10.159.205.6,16,20,0,0,7,0
12.04.21-10:04:42,openstack1,10.159.205.6,6,20,1,25,13,6
12.04.21-10:04:52,openstack1,10.159.205.6,53,21,1,25,13,6
12.04.21-10:05:00,openstack1,10.159.205.6,38,22,1,25,13,6
12.04.21-10:05:08,openstack1,10.159.205.6,25,22,1,25,13,6
12.04.21-10:05:16,openstack1,10.159.205.6,41,22,1,25,13,6
12.04.21-10:05:23,openstack1,10.159.205.6,25,22,1,25,13,6
12.04.21-10:05:30,openstack1,10.159.205.6,50,23,1,25,13,6
12.04.21-10:05:38,openstack1,10.159.205.6,32,24,1,25,13,6
12.04.21-10:05:45,openstack1,10.159.205.6,53,25,1,25,13,6
12.04.21-10:05:53,openstack1,10.159.205.6,39,27,1,25,13,6
12.04.21-10:06:00,openstack1,10.159.205.6,43,29,1,25,13,6
12.04.21-10:06:10,openstack1,10.159.205.6,36,31,1,25,13,6
12.04.21-10:06:19,openstack1,10.159.205.6,44,32,1,25,13,6
12.04.21-10:06:27,openstack1,10.159.205.6,42,34,1,25,13,6
12.04.21-10:06:35,openstack1,10.159.205.6,35,36,1,25,13,6
12.04.21-10:06:43,openstack1,10.159.205.6,32,36,1,25,13,6
12.04.21-10:06:51,openstack1,10.159.205.6,41,37,1,25,13,6
12.04.21-10:08:11,openstack1,10.159.205.6,0,0,0,0,0,0
12.04.21-10:08:15,openstack1,10.159.205.6,10,20,0,0,7,0
12.04.21-10:08:24,openstack1,10.159.205.6,4,20,0,0,7,0
12.04.21-10:08:31,openstack1,10.159.205.6,9,20,0,0,7,0
12.04.21-10:08:38,openstack1,10.159.205.6,11,20,0,0,7,0
12.04.21-10:08:46,openstack1,10.159.205.6,10,20,0,0,7,0
12.04.21-10:08:57,openstack1,10.159.205.6,10,20,0,0,7,0
12.04.21-10:09:10,openstack1,10.159.205.6,10,20,0,0,7,0
12.04.21-10:09:17,openstack1,10.159.205.6,6,20,0,0,7,0
12.04.21-10:09:27,openstack1,10.159.205.6,14,20,0,0,7,0
12.04.21-10:09:34,openstack1,10.159.205.6,12,20,0,0,7,0
12.04.21-10:09:42,openstack1,10.159.205.6,15,20,0,0,7,0
12.04.21-10:09:49,openstack1,10.159.205.6,8,20,0,0,7,0
12.04.21-10:09:57,openstack1,10.159.205.6,10,20,0,0,7,0
12.04.21-10:10:05,openstack1,10.159.205.6,5,20,0,0,7,0
12.04.21-10:10:12,openstack1,10.159.205.6,14,20,0,0,7,0
12.04.21-10:10:20,openstack1,10.159.205.6,6,20,0,0,7,0
12.04.21-10:10:28,openstack1,10.159.205.6,16,20,0,0,7,0
12.04.21-10:10:36,openstack1,10.159.205.6,5,20,0,0,7,0
